Provider	SDeathN	SDeathR	LungN	LungR	ClotN	ClotR	SplitN	SplitR	CutsN	CutsR	HADeathR	HADeathN	HFDeathR	HFDeathN	PDeathR	PDeathN
200041	8	NA	1302	0.31	289	4.04	60	1.9	1284	1.74	13.2	50	12.2	106	10	132
200050	15	NA	2652	0.26	628	3.02	125	1.5	2727	1.57	14.1	154	12.8	117	10.3	256
200052	7	NA	1389	0.3	111	4.17	16	NA	1426	2.08	14.9	31	10.6	62	10.1	114
200063	19	NA	3957	0.23	605	5.32	81	1.74	4056	1.15	16.6	98	11.2	203	10.2	230
201300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7	28	10.8	52	10.9	81
201301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	11	10.6	39
201302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	12
201303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1	36	12.7	39	11.1	107
201304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7	48	12.4	62	11.7	81
201305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	43	11.1	60	10.6	174
201306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9	30	12.3	70	14.6	122
201307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.7	28	14.1	51	11.6	94
201308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	31	10.8	88	9.5	191
201309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5	62	12.9	54	13.5	123
201310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	13.5	78	10.1	141
201311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.8	40	12.2	83	10.6	111
201312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	50	12	58	11.4	168
201313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11.7	85	11.8	85
201314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6	64	12.3	126	9	175
201315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	26	13.8	89	14	238
210001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	285	10.8	548	12.3	975
210002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8	218	10.4	192	12.1	157
210003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	133	11.2	238	12.2	101
210004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.1	218	10.7	472	9.7	348
210005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9	317	9.6	827	9	892
210006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4	90	12.8	240	11	160
210008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4	39	10.4	236	11.6	165
210009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.9	217	9.6	455	9.9	259
210011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	210	8.8	675	10.2	802
210012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2	327	9.1	682	9.5	356
210013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10.9	169	10.7	92
210015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	408	9.2	1041	9.5	645
210016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6	219	8.9	420	10.8	217
210017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.1	47	13.2	156	14.7	118
210018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	128	12.7	390	9.8	395
210019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	655	11	1165	10.2	783
210022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4	295	11.7	508	11.6	535
210023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	413	15	880	12.9	746
210024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6	266	11.8	477	11.8	226
210027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6	384	11.6	812	13	678
210028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9	114	11.1	371	11.6	271
210029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8	219	11.4	656	10.9	495
210030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	56	10.8	235	11.9	180
210032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3	124	11.7	279	9.2	339
210033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	302	15.1	649	10.9	575
210034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7	79	9.8	315	8.3	289
210035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	57	8.9	367	12.2	345
210037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9	182	11	775	9	560
210038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	8.6	107	12.1	111
210039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5	103	9.8	414	11.1	335
210040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5	188	9.6	654	12	565
210043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5	345	10.9	1013	10.2	932
210044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6	55	10.6	443	7	539
210045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	10.3	50	10.3	65
210048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.3	164	9.5	494	10.9	636
210049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4	343	13	609	11.7	343
210051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6	83	9.7	389	9.6	338
210054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	239	9.3	614	10.1	423
210055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2	62	13.2	158	9.6	108
210056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	176	7.2	809	8.3	311
210057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5	238	11.1	426	11.3	627
210060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	8.6	148	10.3	88
210061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3	50	13.1	245	11.1	251
220001	36	108.38	4889	0.59	841	4.12	135	0.6	5141	1.18	15.7	91	11.5	207	11.4	249
220002	118	98.16	9722	0.41	2053	4.88	320	1.63	10469	2.14	12.4	212	10.1	420	8.3	485
220008	72	96.76	6098	0.8	1234	4.51	247	1.23	6305	2.41	16.1	97	10.5	353	10.7	516
220010	65	103.92	8214	0.44	1222	3.16	171	0.59	8523	1.42	15.6	190	9.1	517	12.9	456
220011	28	96.77	6615	0.33	697	3.46	134	0.62	6860	1.12	14.1	123	14.5	279	14.1	336
220012	107	116.25	17073	0.17	4621	2.26	474	0.38	17515	1.85	14.2	664	12.2	898	9	566
220015	62	98.6	6349	0.3	1072	4.5	202	0.54	6501	1.33	12.3	125	11.2	345	11.7	421
220016	22	NA	3086	0.26	377	4.15	97	0.72	3186	1.31	15.1	75	14.1	205	9.5	266
220017	20	NA	5568	0.29	776	2.21	138	1.45	5751	2.54	15.2	31	9.6	199	10.9	144
220019	10	NA	2696	0.29	265	5.36	55	0.79	2785	1.46	13.4	59	13.2	177	9.4	210
220020	45	104.03	5946	0.28	719	4.77	116	0.65	6152	1.41	15	75	10.8	232	10.6	286
220024	56	99.42	5199	0.53	652	3.3	120	0.64	5433	1.62	14.6	146	10.3	243	13.2	325
220029	29	115.18	5942	0.41	711	4.19	143	0.61	6371	0.97	14.3	92	11.8	331	11.8	347
220030	11	NA	3365	0.3	195	5.8	29	0.85	3492	1.23	15.7	46	8.7	224	9.3	276
220031	187	129.09	15048	0.5	4136	7.87	482	0.87	15743	3.4	15.2	215	8.2	507	10.9	248
220033	81	75.76	11652	0.35	1851	3.7	260	1.14	12164	1.73	15.7	303	11.7	617	10	574
220035	155	83.26	17001	0.32	4140	3.84	451	0.8	17814	1.91	12.7	360	9.1	863	9.4	812
220036	110	97.71	9074	0.43	2746	3.53	295	0.47	9593	2.36	13.2	201	7.5	373	9.4	242
220046	101	137.14	9503	0.47	2411	3.56	417	0.85	10196	1.86	12.7	235	10.5	530	9.5	577
220049	12	NA	3615	0.32	465	4.41	59	0.76	3740	1.1	14.4	66	11.2	177	10.1	212
