Provider	SDeathN	SDeathR	LungN	LungR	ClotN	ClotR	SplitN	SplitR	CutsN	CutsR	HADeathR	HADeathN	HFDeathR	HFDeathN	PDeathR	PDeathN
261303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	14.7	45	13.6	139
261304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	16	NA	20
261305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10.8	36	10.3	58
261306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	24	13.4	67
261307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	12.4	83	10.3	106
261308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	11.1	75	11.2	126
261309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.4	91	11.4	149
261310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.3	37	15.3	119
261311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11.9	57	9.4	178
261312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	11.3	26	9.2	74
261314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12.2	38	12.7	83
261316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12	28	11.4	87
261317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	14	12	50
261318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	12	52	13	199
261319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	12	59	12.9	117
261320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11.8	36	12.4	100
261321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	10.7	44	12.8	127
261324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11	69	15.1	133
261325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12.6	79	10.2	192
261326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.9	62	12	145
261327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	11.2	69	11.5	91
261328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3	25	11.1	35	11.4	81
261329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	17	11	59
261330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.7	94	10	92
261331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	14.2	91	12.4	169
261332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13.4	52	10.9	90
261333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12.4	83	10.2	88
261335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	22	9.6	186
263302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
270003	43	104.61	3438	0.33	898	4.75	141	0.63	3579	3.76	14.1	91	15.2	146	15.6	294
270004	116	97.54	10035	0.33	3917	1.61	595	1.1	10654	0.88	14.6	301	12	396	13.4	374
270012	140	103.57	7914	0.55	3010	2.48	437	0.35	8338	2.91	13.8	196	12.3	300	8.4	325
270014	117	102.99	5901	0.22	2958	3.47	293	1.01	6354	2.23	12.5	240	14	240	12.1	313
270017	31	92.79	3025	0.33	853	2.93	110	1.54	3081	2.24	15.1	60	11.9	124	10.6	170
270023	39	113.69	2538	0.41	1201	5.03	144	2.46	2516	3.05	NA	19	10.3	73	11.1	72
270032	4	NA	1049	0.43	141	3.83	38	0.82	1083	1.55	NA	10	10.9	61	13.9	131
270049	166	99.17	8790	0.58	4265	3.16	354	0.39	8846	2.68	12.9	268	13.8	306	11.2	416
270051	67	115.63	5108	0.75	1911	1.03	279	0.44	5429	2.21	15.3	172	12.6	194	9.4	311
270057	56	95.33	3288	0.33	1202	4.47	113	1.56	3376	2.24	14.3	79	12.6	155	10.7	221
270074	NA	NA	470	0.33	9	NA	NA	NA	500	1.96	NA	1	NA	18	9.5	67
270086	NA	NA	504	0.33	418	2.93	31	0.86	509	1.93	NA	NA	NA	2	11.2	26
270087	3	NA	532	0.33	456	3.91	11	NA	535	2.19	NA	NA	NA	1	NA	7
271300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	15
271302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
271303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	11
271304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
271305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	9
271306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	9	NA	23
271307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	20	10.5	30
271308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	10
271309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
271310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
271311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	19
271312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	18	12.3	49
271313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	14
271316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	20	14.8	58
271317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	10.6	48	11.9	72
271318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.4	42	12.7	75
271319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4	31	10.7	27
271320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12.1	37	13.1	67
271322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	22	11.9	52
271323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	24	13.5	27
271324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	11	12.2	31
271325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12.7	41	11.2	85
271326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	21	10.8	35
271327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10.2	29	10.6	59
271328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12.2	25	13.6	84
271330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	12	11.5	45
271332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	13.6	30	16	61
271333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	11
271334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	10	12.5	32
271335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.1	56	10.3	66
271336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	11.6	28	17.2	80
271337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	13	10.7	40
271338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	13	11.6	43
271339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	13
271340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	11.4	60	12.9	128
271341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	11.1	27
271342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	19
271343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	11.8	29	14.2	27
271344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.7	41	13.7	70
271345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	13.4	53	10.1	119
271346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	9	NA	20
271347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.1	79	12	110
280003	299	90.03	15071	0.73	5679	3.36	582	0.66	16312	2.01	14.3	491	12.9	616	13	816
280009	162	105.09	7075	0.39	3669	3.77	345	1.01	7375	1.72	15.4	216	13	292	15.4	388
280013	292	122.27	16655	0.28	6063	4.11	838	1.86	17837	0.86	17.5	268	14.8	418	10.4	424
280020	226	91.96	11401	0.45	4777	3.18	641	1.72	11623	3.37	18.1	126	12.7	368	11.4	685
280023	132	94.94	5788	0.45	1629	2.94	278	1.68	6072	2.44	12.9	136	13.2	288	10.7	451
280030	89	115.18	4886	1.08	1805	7.69	351	1.7	5493	3.29	13.8	271	10.3	200	13.4	128
280032	40	96.57	3625	0.31	1028	2.04	127	1.57	3726	2.11	15.7	59	13.9	215	13.1	297
280040	246	68.79	12284	0.38	5357	3.95	1108	1.39	13097	2.06	14.6	207	11.2	437	11.8	579
280060	197	102.8	10181	0.36	4069	4.86	510	0.32	10793	1.27	14.2	219	11.1	419	12.7	314
280061	105	138.17	5007	0.2	1876	2.06	235	0.49	5071	1.84	16.9	95	14.1	169	10.5	317
280065	44	88.89	3932	0.33	913	2.49	144	0.61	4124	2.14	16	72	13.3	172	11	309
280077	49	114.06	3932	0.3	1265	4.17	219	1.25	4054	2.98	15.1	61	11	170	15.2	237
280081	76	113.26	5757	0.25	1566	3.83	195	1.25	5691	2.15	14.1	127	15.2	170	13.8	226
280105	14	NA	2208	0.42	423	4.14	40	0.8	2260	2.2	14.2	61	12.7	141	12.6	142
280111	5	NA	2170	0.3	473	4.03	59	1.88	2225	2.15	14.3	32	13.8	112	11.6	164
280125	62	125.51	3944	0.34	1332	3.88	154	0.6	4181	3.06	16.3	180	13.1	201	11.3	286
280127	NA	NA	592	0.33	571	2.53	NA	NA	589	1.83	NA	NA	NA	NA	NA	NA
280128	56	102.16	2764	0.44	2519	1.37	40	0.84	3651	1.04	14.5	241	10.8	244	NA	15
280129	10	NA	1050	0.32	1030	6.07	NA	NA	1007	2.62	NA	NA	NA	NA	NA	NA
280130	58	105.78	4559	0.27	1086	4.51	160	0.59	4745	2.94	17.3	145	10.1	246	12.9	266
280131	6	NA	520	0.33	514	3.2	NA	NA	207	1.84	NA	NA	NA	NA	NA	NA
280132	12	NA	1196	0.29	279	4.18	33	0.84	1235	1.37	13.3	61	10.2	87	13	126
280133	NA	NA	152	0.46	152	3.95	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
281300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	21
281301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12.1	31	12.6	46
281302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	24
281303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	12
281304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12.8	42	12.5	38
281305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	22	12.2	42
281306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	10	NA	24
281307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	14.4	73
281308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	17	13.6	27
281309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	23	NA	22
281310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5	NA	20
281311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	15	NA	18
281312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	17
281313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	17	12	48
281314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13.9	32	12.3	29
281315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	12.4	28	13	51
281316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	9	11.4	42
281317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	22
281318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	17	10.9	32
281319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	11.9	26	11.3	63
281320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	22	14.1	65
281321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	13.4	25	13.5	46
281322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12.4	68	10	77
281323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	13	10.1	40
281324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	15.1	72
281325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	9	12.1	48
281326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	9	10.4	87
281327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.1	30
281328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.3	32	9	119
281329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	11	41	12	162
281330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	6
281331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	11	11.9	87
281332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.3	44	14.3	61
281333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	12	NA	24
281334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11.4	39	11.1	187
281335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	15	12.3	50
281336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11.6	58	12.2	117
281338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	24	10.3	74
281339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.5	36	11.6	106
281340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	9	13.9	39
281341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12.6	37	15.4	61
281342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	20	13.4	79
281343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12.2	25	11.6	25
281344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	9	12.2	73
281345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	14.9	39	11.7	73
281346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	15	12.2	41
281347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	20	14.4	54
281348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.4	32	8	117
281349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11.7	30	11.8	97
281350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12.8	47
281351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	21	15.5	31
281352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12.3	46	11.1	71
281353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	13.6	27	10.7	85
281354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12	36	11.4	35
281355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.7	55	11.6	45
281356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	14	11.6	40
281357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11	43	11.7	92
281358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	22	11.4	37
281359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12.5	43	14.9	76
281360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	11.9	61	11	116
281361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.9	42	10	102
281362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	14.8	44	11.8	128
281363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	14.2	72	14.7	107
281364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.1	58	14.7	122
281365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12.1	65	9.1	191
283301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
290001	292	159.8	17043	0.25	5978	5.05	724	1.61	17254	1.8	13.8	526	12.2	450	13.1	445
290002	NA	NA	263	0.34	NA	NA	NA	NA	275	2.02	NA	3	NA	13	13.6	47
290003	336	148.88	14235	0.3	4849	6.17	660	1.84	15115	1.73	14.3	341	10.9	372	15.1	373
290005	31	117.16	2956	0.25	673	5.58	46	1.98	3227	2.56	15.7	34	11.6	122	10.3	107
290006	10	NA	1700	0.31	222	4.41	49	0.8	1766	2.02	NA	16	12.3	83	13.7	158
290007	135	127.45	7034	0.57	2207	5.39	319	2.39	7078	4.09	15.1	55	10.6	131	11.1	142
290008	13	NA	1401	0.3	253	3.46	43	0.8	1449	2.24	16.4	41	12.7	63	12.9	236
290009	88	116.14	6246	0.55	2249	2.41	339	0.4	6337	3.15	14.8	204	14.6	285	14.3	357
290012	45	85.65	4285	0.44	639	5.09	102	0.66	4468	1.67	15.4	67	16	149	11.5	146
290019	114	113.34	8029	0.25	2249	2.81	273	1.55	8327	1.69	15.2	338	14.9	410	16.6	455
290020	NA	NA	162	0.34	NA	NA	NA	NA	167	2.02	NA	4	NA	12	NA	5
290021	138	134.22	11384	0.41	2828	3.41	375	0.44	11809	1.79	17.8	216	14.1	262	13.9	229
290022	105	174.8	6918	0.25	1731	5.31	194	0.54	7450	1.39	19.9	200	11.8	244	15.5	296
290032	22	NA	2667	0.34	744	5.08	63	1.8	2633	3.66	17.8	51	12.1	73	10.7	110
290039	145	152.05	12262	0.26	3009	4.13	307	2.74	12706	2.34	15.4	285	9.2	554	11.8	484
290041	157	118.46	9726	0.31	2812	7.1	416	0.87	10360	1.66	14.5	157	11.7	321	12.7	360
290045	203	111.19	11036	0.38	4302	5.9	403	0.36	11420	2.16	16	255	11.4	349	13.2	312
290046	192	135.64	7917	0.33	2637	5.98	338	1.57	8257	1.2	16	140	11.7	149	7.9	194
290047	65	120.24	3635	0.38	1291	5.89	135	2.37	3522	2.59	14.4	40	9.8	124	11.2	170
290049	14	NA	2028	0.59	615	2.61	36	0.79	2097	1.97	NA	13	11.3	57	11.2	149
290051	7	NA	720	0.32	722	2.75	91	0.72	561	2.11	NA	NA	NA	NA	NA	NA
290053	81	109.29	3947	0.35	1127	6.6	135	0.68	4182	2.3	15.6	63	11.9	174	10.5	169
290054	46	117.51	4302	0.38	1057	5.2	76	0.72	4438	1.31	14.2	92	10.6	145	13.8	138
291300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	13.3	51	13.3	82
291301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
291302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12.2	38	11.8	49
291303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	8
291304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	13
291306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12.1	45	13.6	111
291307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	11.5	29	11.3	65
291308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10.1	31	14.1	33
291309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12.4	27	13.8	68
291311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	11.6	63	10.3	79
291312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.1	26	NA	15
300001	92	91.22	10429	0.51	3210	2.94	317	0.44	10782	0.87	16.5	259	13.1	521	11.4	582
300003	384	140.19	13835	0.53	7153	5.93	946	0.82	15489	5.54	14.2	781	11.7	431	11.2	327
300005	44	115.02	3528	0.32	1222	3.4	200	1.98	3717	2.56	19.2	88	14.1	162	15.2	228
300011	34	128.09	4771	0.29	887	8.84	122	0.66	4990	1.27	13.8	155	11.2	330	11.7	324
300012	84	111.77	7872	0.37	1819	6.96	217	0.55	8163	2.26	13.6	181	12.2	359	12.7	516
300014	26	99.78	3354	0.25	662	6.89	90	1.59	3544	2.21	14.4	46	11.7	180	8.8	257
300017	31	124.8	3104	0.24	465	5.17	111	0.67	3234	2.07	14.4	128	13.3	260	12.5	225
300018	80	115.59	6518	0.36	1428	6.5	172	1.45	6701	2.58	14.4	130	9.5	382	10.8	291
300019	30	104.32	3183	0.24	482	6.27	80	0.72	3325	2.99	16.6	77	13	179	12.5	352
300020	52	105.85	5224	0.47	1128	2.88	170	1.42	5228	1.37	15.1	169	11.3	299	10.3	332
300023	61	86.42	5628	0.19	1171	0.97	182	2.03	5936	1.34	14.5	178	11.7	357	9.3	317
300029	69	101.49	5008	0.39	2089	3.23	180	2.05	5589	1.55	14	251	12.8	228	11.3	161
300034	106	101.6	7105	0.18	2850	1.83	233	0.49	8007	2.53	12	392	12	387	11.6	418
301300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	10.3	39	13.9	40
301301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	11.9	42	12.1	88
301302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	12.6	59	14	117
301303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.7	31	11.4	48	12.9	91
301304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	12	80	14.7	107
301305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	11	41
301306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	41	15	74	13.2	151
301307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2	39	12.9	92	14.5	122
301308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12	67	11.5	100
301309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8	46	15.6	71	14.2	170
301310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6	40	14.4	70	12.3	108
301311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11.7	64	9.8	95
301312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.4	35	13.9	74	11.1	123
310001	493	82.78	27587	0.19	10078	7.07	968	0.73	29538	1.57	12.1	685	10.6	1350	10.1	888
310002	180	146.61	12160	0.42	3804	6.28	244	0.54	13232	1.93	14.4	262	9.2	626	12.7	233
310003	40	104.82	7325	0.3	837	7.04	115	1.59	7630	1.73	12	205	9.6	456	11.1	318
310005	63	114.81	6149	0.49	1139	3.82	152	0.61	6513	1.11	12.6	171	11.8	311	13	352
310006	82	120.81	7956	0.21	1847	3.89	273	0.47	8597	1.74	16.2	111	11.5	711	12.4	460
310008	135	83.32	13396	0.36	2734	6.53	450	0.97	14056	1.1	11.3	357	8.4	813	9.7	700
310009	96	83.89	12520	0.27	2620	1.79	346	0.89	12973	1.25	13.4	373	8.7	777	10.4	436
310010	57	128.63	9951	0.35	2371	3.08	294	1.15	10339	2.21	15.6	269	11.5	558	9.3	413
310011	78	126.17	9460	0.37	1402	2.33	261	1.69	9960	1.14	14.5	133	9.8	527	10.1	534
310012	289	101.33	25469	0.48	7263	12.89	1042	1.03	27387	1.66	12.6	844	9.7	1770	10.3	1269
310014	225	159.26	10998	0.72	4326	9.24	817	0.69	12066	2.13	16.2	241	10.6	388	11.3	169
310015	433	114.64	22162	0.29	10482	7.23	974	0.84	24916	1.64	12.9	741	10	1150	9.7	852
310016	50	111.98	7099	0.45	1125	6.01	197	1.32	7361	1.52	16.2	149	11.9	397	12.9	242
310017	83	124.09	8740	0.53	1692	4.31	308	2.26	9378	3.71	16	270	11.2	553	11.2	530
310019	163	142.47	18788	0.15	3913	2.66	461	0.37	19568	1.13	16.3	439	12.2	1108	11.9	634
310021	52	125.52	5217	0.48	1166	5.17	93	0.71	5513	2.05	14.2	108	11.5	257	12.6	174
310022	239	154.6	25664	0.16	5151	4.6	1001	0.47	26879	1.35	14.9	708	10.8	1286	10.9	1238
310024	69	124.54	7374	0.22	1184	5.46	208	3.32	7660	0.69	20.1	205	11.5	648	11.5	365
310025	65	99.87	5108	0.33	748	3.87	158	1.34	5326	1.2	14.2	274	11.8	361	13.6	204
310027	63	123.48	7833	0.37	1447	5.26	215	0.59	8148	1.43	16.9	200	13.7	445	11.7	329
310028	76	111.08	6967	0.3	878	2.62	185	1.24	7226	1.41	14.8	162	11.3	507	9.5	499
310029	180	128.53	11778	0.54	4107	5.86	422	1.21	12887	0.94	14.6	464	9.9	633	8.8	363
310031	91	109.23	4371	0.13	3308	1.77	23	NA	5153	2.32	15.3	184	9.4	251	13.1	64
310032	102	120.12	12760	0.65	2107	5.94	377	0.96	13150	3.53	13.3	292	11.1	930	14.2	530
310034	75	129.35	10376	0.2	2471	2.66	286	0.96	10752	1.66	14.4	290	11.8	572	9.4	448
310038	379	128.68	20446	0.48	7514	6.72	913	1.14	22562	2.8	14.8	531	10.2	1224	9.6	705
310039	100	113.45	13221	0.29	1678	7.68	228	0.54	13755	1.41	16.6	378	9.8	772	9.5	546
310040	26	121.73	4534	0.22	607	6.62	85	0.73	4722	0.88	16.7	59	9.4	225	12.7	242
310041	162	94.13	29677	0.21	4710	3.78	834	1.66	31059	1.37	15.1	1004	11.9	2026	9.4	1342
310044	45	143.05	4846	0.2	1110	4.08	172	2.15	5093	1.84	14	96	10.6	262	14.3	164
310045	165	116.35	14379	0.27	4531	6.35	469	0.88	15383	0.55	12.6	375	11	735	9.5	517
310047	88	119.89	9375	0.15	2006	5.86	286	0.47	9716	1.07	15.2	201	9.3	497	10	290
310048	113	116.92	13610	0.26	2710	10.63	410	1.98	14398	1.47	16.8	429	12.8	912	14.1	630
310050	78	94.89	11688	0.25	2310	5.14	355	0.43	12244	3.17	14.4	363	11.8	877	9.4	521
310051	226	120.01	17537	0.32	4494	9.42	673	0.3	18418	1.24	11.8	413	12.1	1075	9.8	919
310052	137	105.07	15157	0.2	3068	3.86	487	1.7	15955	2.26	15.1	396	11.3	1212	11.5	824
310054	80	128.48	9652	0.49	2000	5.31	285	0.47	10249	1.18	14.2	264	9.9	557	10.4	426
310057	144	151.3	14412	0.13	3891	4.62	470	0.82	14753	1.26	13.9	408	13	767	11.4	583
310058	6	NA	1389	0.3	81	4.92	8	NA	1417	1.72	NA	23	14.3	35	14.1	96
310060	55	105.72	5728	0.32	1041	7.06	192	2.07	5990	1.35	13.3	94	10	353	12.7	280
